Country,Code,Year,Population,Energy_per_capita,Annual_Mean,Temp_5yr_Smooth,Total_Energy_Proxy,Total_Energy_TWh,Population_Millions,Temp_Change_YoY,Decade,High_Energy_Use,Climate_Band
Argentina,ARG,2017,44288894.0,22511.02,15.53,15.35,996988001456.304,996.988001456304,44.29,0.5499999999999989,2010,True,Mild
Argentina,ARG,2018,44654882.0,22081.68,15.21,15.34,986054993381.2881,986.0549933812881,44.65,-0.3199999999999985,2010,True,Mild
Argentina,ARG,2019,44973465.0,20582.31,15.19,15.32,925657888351.0801,925.65788835108,44.97,-0.02000000000000135,2010,True,Mild
Argentina,ARG,2020,45191965.0,19117.82,15.52,15.29,863972033084.16,863.97203308416,45.19,0.33000000000000007,2020,True,Mild
Argentina,ARG,2021,45312281.0,20925.62,15.4,15.26,948187346977.8151,948.1873469778151,45.31,-0.11999999999999922,2020,True,Mild
Argentina,ARG,2022,45407904.0,22049.94,15.07,15.23,1001241467909.9519,1001.2414679099519,45.41,-0.33000000000000007,2020,True,Mild
Armenia,ARM,2014,3013800.0,13808.04,8.61,8.3,41614667938.200005,41.61466793820001,3.01,0.0,2010,True,Cold
Armenia,ARM,2015,3004600.0,12623.13,8.41,8.32,37927465411.8,37.9274654118,3.0,-0.1999999999999993,2010,True,Cold
Armenia,ARM,2016,2992300.0,12668.35,7.81,8.34,37907497720.4,37.9074977204,2.99,-0.6000000000000005,2010,True,Cold
Armenia,ARM,2017,2979400.0,13658.81,8.08,8.38,40695067452.2,40.6950674522,2.98,0.27000000000000046,2010,True,Cold
Armenia,ARM,2018,2969000.0,13424.77,9.32,8.44,39858133223.0,39.858133223,2.97,1.2400000000000002,2010,True,Cold
Armenia,ARM,2019,2962500.0,14248.77,8.64,8.52,42211990012.5,42.2119900125,2.96,-0.6799999999999997,2010,True,Cold
Armenia,ARM,2020,2961500.0,15475.3,8.41,8.61,45830106873.0,45.830106873,2.96,-0.23000000000000043,2020,True,Cold
Armenia,ARM,2021,2962300.0,15976.38,8.81,8.72,47326818624.8,47.326818624800005,2.96,0.40000000000000036,2020,True,Cold
Armenia,ARM,2022,2969200.0,17722.29,8.64,8.82,52621032375.600006,52.62103237560001,2.97,-0.16999999999999993,2020,True,Cold
Australia,AUS,2014,23475686.0,66387.73,22.53,22.24,1558497503732.7798,1558.4975037327797,23.48,0.0,2010,True,Warm
Australia,AUS,2015,23815995.0,66879.32,22.33,22.44,1592797550723.4001,1592.7975507234,23.82,-0.20000000000000284,2010,True,Warm
Australia,AUS,2016,24190907.0,66045.68,22.41,22.61,1597704902631.7598,1597.7049026317598,24.19,0.08000000000000185,2010,True,Warm
Australia,AUS,2017,24592588.0,64778.02,22.48,22.68,1593059157315.76,1593.05915731576,24.59,0.07000000000000028,2010,True,Warm
Australia,AUS,2018,24963258.0,64726.42,22.49,22.66,1615782271949.844,1615.782271949844,24.96,0.00999999999999801,2010,True,Warm
Australia,AUS,2019,25334826.0,65938.53,22.78,22.56,1670541184245.78,1670.54118424578,25.33,0.2900000000000027,2010,True,Warm
Australia,AUS,2020,25649248.0,61584.26,22.56,22.39,1579589906337.9841,1579.589906337984,25.65,-0.22000000000000242,2020,True,Warm
Australia,AUS,2021,25685412.0,61230.44,22.05,22.18,1572729206768.34,1572.7292067683402,25.69,-0.509999999999998,2020,True,Warm
Australia,AUS,2022,26018721.0,63386.54,21.96,21.95,1649236569321.735,1649.236569321735,26.02,-0.08999999999999986,2020,True,Warm
Austria,AUT,2014,8546356.0,46197.7,8.37,7.92,394821990581.19995,394.82199058119994,8.55,0.0,2010,True,Cold
Austria,AUT,2015,8642699.0,45856.26,8.31,8.0,396321852445.74,396.32185244574,8.64,-0.05999999999999872,2010,True,Cold
Austria,AUT,2016,8736668.0,46881.99,7.76,8.07,409592399282.656,409.592399282656,8.74,-0.5500000000000007,2010,True,Cold
Austria,AUT,2017,8797566.0,47457.57,7.71,8.12,417511104274.62,417.51110427462,8.8,-0.04999999999999982,2010,True,Cold
Austria,AUT,2018,8840521.0,46190.7,8.55,8.16,408349853354.69995,408.3498533547,8.84,0.8400000000000007,2010,True,Cold
Austria,AUT,2019,8879920.0,48188.98,8.46,8.18,427914322801.27997,427.91432280128,8.88,-0.08999999999999986,2010,True,Cold
Austria,AUT,2020,8916864.0,44852.16,8.25,8.19,399940575158.784,399.940575158784,8.92,-0.21000000000000085,2020,True,Cold
Austria,AUT,2021,8955797.0,45314.2,7.41,8.2,405824731638.415,405.82473163841496,8.96,-0.8399999999999999,2020,True,Cold
Austria,AUT,2022,9041851.0,42122.1,8.65,8.2,380861797216.35504,380.86179721635506,9.04,1.2400000000000002,2020,True,Cold
Azerbaijan,AZE,2014,9535079.0,16326.35,13.46,13.39,155673027496.571,155.67302749657102,9.54,0.0,2010,True,Mild
Azerbaijan,AZE,2015,9649341.0,17618.03,13.55,13.39,170002379218.22998,170.00237921822998,9.65,0.08999999999999986,2010,True,Mild
Azerbaijan,AZE,2016,9757812.0,17246.13,12.93,13.4,168284543056.62,168.28454305661998,9.76,-0.620000000000001,2010,True,Mild
Azerbaijan,AZE,2017,9854033.0,16748.14,13.22,13.43,165036694686.521,165.036694686521,9.85,0.2900000000000009,2010,True,Mild
Azerbaijan,AZE,2018,9939771.0,17546.86,14.2,13.49,174411799988.37302,174.41179998837302,9.94,0.9799999999999986,2010,True,Mild
Azerbaijan,AZE,2019,10024283.0,18385.93,13.75,13.58,184305725441.05798,184.30572544105797,10.02,-0.4499999999999993,2010,True,Mild
Azerbaijan,AZE,2020,10093121.0,18162.77,13.38,13.69,183319015118.928,183.319015118928,10.09,-0.3699999999999992,2020,True,Mild
Azerbaijan,AZE,2021,10137750.0,19302.55,13.9,13.81,195684395849.25,195.68439584925,10.14,0.5199999999999996,2020,True,Mild
Azerbaijan,AZE,2022,10141756.0,20425.45,13.84,13.94,207149940231.95602,207.14994023195604,10.14,-0.0600000000000005,2020,True,Mild
Bahrain,BHR,2014,1314562.0,153717.31,27.9,28.11,202070934468.22,202.07093446822,1.31,0.0,2010,True,Warm
Bahrain,BHR,2015,1370322.0,148644.03,28.31,28.17,203690184477.66,203.69018447766,1.37,0.41000000000000014,2010,True,Warm
Bahrain,BHR,2016,1423726.0,142093.94,28.43,28.24,202302836820.44,202.30283682044,1.42,0.120000000000001,2010,True,Warm
Bahrain,BHR,2017,1501116.0,141021.28,28.34,28.32,211689299748.48,211.68929974848,1.5,-0.08999999999999986,2010,True,Warm
Bahrain,BHR,2018,1503091.0,140424.39,28.79,28.42,211070636789.49002,211.07063678949,1.5,0.4499999999999993,2010,True,Warm
Bahrain,BHR,2019,1483756.0,155660.7,28.38,28.53,230962497589.2,230.9624975892,1.48,-0.41000000000000014,2010,True,Warm
Bahrain,BHR,2020,1472204.0,152081.19,28.19,28.66,223894536242.76,223.89453624276,1.47,-0.18999999999999773,2020,True,Warm
Bahrain,BHR,2021,1504365.0,156362.64,29.18,28.79,235226482923.6,235.2264829236,1.5,0.9899999999999984,2020,True,Warm
Bahrain,BHR,2022,1524693.0,161782.95,28.84,28.93,246669331384.35,246.66933138435002,1.52,-0.33999999999999986,2020,True,Warm
Bangladesh,BGD,2014,157964929.0,2016.64,25.59,25.6,318558378622.0671,318.5583786220671,157.96,0.0,2010,False,Warm
